customer_city,payment_value
arraias,254.23000000000002
arroio do meio,1608.08
arroio do sal,1442.1999999999998
arroio do tigre,319.0
arroio dos ratos,1226.52
arroio grande,457.84000000000003
arroio trinta,185.84
arrozal,912.81
artur nogueira,6723.88
aruana,180.31
aruja,8699.66
arvoredo,49.4
arvorezinha,328.79
ascurra,414.25
assai,1019.8
assare,118.26
assis,13819.31
assis chateaubriand,1426.3
assuncao,132.69
astolfo dutra,1509.69
astorga,556.28
atalaia,137.65
atalanta,351.0
ataleia,200.69
atibaia,23180.88
atilio vivacqua,107.78
augustinopolis,144.89
augusto correa,440.0
augusto pestana,143.95
aurea,451.5
auriflama,2029.77
aurilandia,176.2
aurora,870.17
aurora do para,115.46
avanhandava,905.33
avare,9713.47
avelar,824.24
avelino lopes,142.72
azurita,220.85000000000002
bacabal,3883.5
bacaxa,72.51
bacuri,444.21000000000004
bady bassitt,615.24
baependi,1587.39
bage,10286.98
baianopolis,493.28
baixa grande,66.24
baixa grande do ribeiro,213.47
baixo guandu,1617.17
balbinos,69.29
baldim,699.0400000000001
balneario arroio do silva,450.66999999999996
balneario barra do sul,482.62
balneario camboriu,18971.079999999998
balneario gaivota,329.12
balneario picarras,1619.82
balneario pinhal,1043.94
balneario rincao,444.3
balsa nova,33.97
balsamo,1383.48
balsas,6607.73
bambui,2558.68
banabuiu,139.61
bananal,702.49
bananeiras,544.74
bandeira,419.21000000000004
bandeira do sul,466.28999999999996
bandeirantes,2113.63
bandeirantes d'oeste,65.09
bandeirantes do tocantins,432.20000000000005
banzae,127.42
barao,57.53
barao ataliba nogueira,1351.51
barao de cocais,2452.94
barao de cotegipe,154.71
barao de juparana,46.72
barao do triunfo,99.14
barauna,288.37
barbacena,14209.71
barbalha,1515.4099999999999
barbosa ferraz,562.5699999999999
barcarena,1323.67
bariri,3075.2200000000003
barra,194.84
barra bonita,4440.92
barra da estiva,1072.68
barra de guabiraba,565.8
barra de santa rosa,291.5
barra de santo antonio,629.12
barra de sao francisco,797.29
barra de sao joao,2835.38
barra de sao miguel,226.64
barra do bugres,943.6500000000001
barra do choca,877.49
barra do corda,1354.34
barra do garcas,4924.29
barra do jacare,71.43
barra do mendes,383.28
barra do pirai,6015.99
barra do ribeiro,742.89
barra do rio azul,148.71
barra do tarrachil,359.94
barra do turvo,380.5
barra dos coqueiros,629.46
barra longa,1341.55
barra mansa,21511.37
barra velha,2014.4099999999999
barracao,166.71
barras,291.68
barreira,142.01
barreiras,12694.48
barreirinhas,490.73
barreiros,1514.0900000000001
barretos,10351.45
barrinha,3321.15
barro,769.02
barro alto,255.51
barro preto,146.58
barrocas,118.26
barrolandia,124.53999999999999
barros cassal,800.36
barroso,1575.52
barueri,57077.11
bastos,1673.94
bataguassu,732.9200000000001
bataipora,180.1
batalha,308.09999999999997
batatais,6130.55
bataypora,292.02
baturite,551.09
bauru,44292.81
bayeux,1139.41
bebedouro,6141.75
beberibe,1823.9099999999999
bela cruz,1024.47
bela vista,522.88
bela vista de goias,753.35
bela vista de minas,134.51
bela vista do maranhao,83.15
bela vista do paraiso,658.49
belem,93830.03
belem do sao francisco,771.02
belford roxo,14628.03
belmonte,262.55
belo campo,257.64
belo horizonte,406050.87
belo jardim,2013.1499999999999
belo oriente,833.02
belo vale,374.48
bemposta,48.11
benedito leite,134.12
benedito novo,1093.77
benevides,343.03000000000003
bento de abreu,371.48
bento goncalves,8146.78
bequimao,386.15
berilo,78.22
berizal,221.98
bernardino de campos,328.87
bertioga,10451.08
bertolinia,483.87
bertopolis,82.12
betim,32101.51
bezerros,1651.23
bias fortes,108.47999999999999
bicas,868.55
biguacu,3738.89
bilac,817.86
birigui,16626.83
biritiba-mirim,1579.77
biritinga,147.57
bituruna,598.23
blumenau,28625.75
boa esperanca,4789.2300000000005
boa esperanca do iguacu,51.0
boa esperanca do sul,1012.62
boa ventura,31.69
boa viagem,546.76
boa vista,8867.83
boa vista da aparecida,264.63
boa vista das missoes,367.56
boa vista do burica,252.09
boa vista do cadeado,464.98
boa vista do gurupi,154.75
boa vista do sul,46.22
boca da mata,298.03
bocaina,1719.24
bocaiuva,1943.2199999999998
bocaiuva do sul,72.7
bodo,84.57
bodoco,269.03000000000003
bodoquena,495.53
bofete,758.67
boituva,7974.5
bom conselho,1848.32
bom despacho,5554.6
bom jardim,2862.49
bom jardim de goias,25.1
bom jardim de minas,1068.38
bom jesus,3082.27
bom jesus da lapa,3153.69
bom jesus da penha,120.84
bom jesus da serra,322.28999999999996
bom jesus das selvas,301.41999999999996
bom jesus do amparo,218.54
bom jesus do araguaia,1247.29
bom jesus do galho,4923.81
bom jesus do itabapoana,4011.27
bom jesus do norte,781.8499999999999
bom jesus do querendo,188.55
bom jesus do sul,245.1
bom jesus do tocantins,506.46000000000004
bom jesus dos perdoes,1930.03
bom principio,1140.75
bom repouso,487.95
bom retiro,88.37
bom retiro do sul,1484.21
bom sucesso,1102.48
bombinhas,2305.3
bonfim,480.24
bonfim paulista,2850.17
bonfinopolis,512.6
bonfinopolis de minas,1433.75
boninal,909.8
bonito,3342.66
bonito de minas,115.44
bonito de santa fe,162.85
boqueirao do leao,300.14
boquira,95.67
bora,139.71
boraceia,39.96
borborema,936.8
borda da mata,1062.25
borrazopolis,312.23
bossoroca,213.34
botelho,265.04
botelhos,1456.47
botucatu,18965.12
botupora,346.51
botuvera,215.17000000000002
braco do norte,3423.42
braco do rio,138.93
braganca,1437.27
braganca paulista,22683.22
bras pires,108.02
brasil novo,396.1
brasilandia,75.07
brasilandia de minas,98.49
brasileia,139.53
brasilia,345221.87
brasilia de minas,922.92
brasopolis,115.9
brauna,482.35
braunas,105.28
brazabrantes,82.7
brazopolis,1015.5
brejetuba,144.54
brejo,138.24
brejo bonito,153.9
brejo da madre de deus,512.73
brejo do cruz,1217.78
brejo dos santos,125.94
brejo grande,268.84
brejo santo,1949.35
brejoes,143.34
brejolandia,34.78
breu branco,575.7
breves,710.19
britania,105.37
brodowski,1123.4
brotas,1269.88
brotas de macaubas,185.62
brumadinho,2795.25
brumado,3330.52
brusque,9731.210000000001
bueno brandao,238.32999999999998
buenopolis,1464.22
buenos aires,311.83
buerarema,1116.81
bugre,209.3
buique,253.09
buri,1103.3899999999999
buritama,1234.42
buriti,229.9
buriti alegre,48.22
buriti do tocantins,86.79
buriti dos lopes,356.82
buriticupu,837.4
buritirama,286.11
buritis,2381.0299999999997
buritizal,102.88
buritizeiro,2911.2300000000005
butia,1312.6100000000001
caarapo,1447.93
cabaceiras do paraguacu,48.69
cabeceira grande,348.75
cabeceiras,33.13
cabedelo,1329.5
cabixi,234.5
cabo de santo agostinho,3618.25
cabo frio,18857.72
cabo verde,519.17
cabralia paulista,263.31
cabreuva,834.12
cabrobo,1146.91
cacador,5469.62
cacapava,11473.43
cacapava do sul,1044.83
cacaulandia,108.73
cacequi,342.23
caceres,5668.5599999999995
cachoeira,573.71
cachoeira alta,605.48
cachoeira da prata,214.43
cachoeira de minas,557.9100000000001
cachoeira de pajeu,504.03
cachoeira do brumado,211.17
cachoeira do campo,909.84
cachoeira do sul,5281.79
cachoeira dourada,327.69
cachoeira paulista,3768.01
cachoeiras de macacu,2304.32
cachoeirinha,10975.34
cachoeiro de itapemirim,19175.45
cacoal,2414.8
caconde,1829.57
cacu,1163.53
cacule,615.05
caem,80.02
caetanopolis,805.62
caete,3144.06
caetes,166.04
caetite,2300.45
cafeara,309.82
cafelandia,2757.71
caiana,285.61
caiaponia,428.96999999999997
caibate,340.24
caibi,180.41
caicara do norte,1157.41
caico,3215.31
caieiras,14186.28
cairu,78.64
caiua,170.99
cajamar,11413.59
cajapio,149.16
cajari,316.3
cajati,2100.69
cajazeiras,2410.67
cajobi,1162.8899999999999
cajueiro,138.15
cajuri,71.53
cajuru,793.9
calcado,223.54
caldas,621.9399999999999
caldas brandao,192.32
caldas do jorro,394.52
caldas novas,6204.57
caldeirao grande,268.87
caldeirao grande do piaui,180.76
california,133.95
california da barra,1014.5
calmon,67.5
camacan,1269.4
camacari,8722.58
camacho,80.9
camamu,1782.6000000000001
camanducaia,2381.76
camapua,734.34
camaqua,1998.21
camaragibe,3455.4900000000002
cambara,1022.62
cambara do sul,400.64
cambe,4559.06
cambiasca,38.09
cambira,519.35
camboriu,3711.42
cambuci,2279.92
cambui,3660.81
cambuquira,444.24
cameta,521.8499999999999
camocim,2078.27
camocim de sao felix,420.26
campanario,313.28999999999996
campanha,786.26
campestre,384.32
campestre da serra,1390.06
campestre do maranhao,340.95000000000005
campina da lagoa,593.8199999999999
campina das missoes,211.0
campina do monte alegre,291.99
campina grande,22657.35
campina grande do sul,1276.75
campina verde,868.85
campinacu,195.91
campinapolis,387.09000000000003
campinas,209028.97
campinas do sul,1531.2400000000002
campinorte,1400.61
campo alegre,1228.35
campo alegre de goias,240.27
campo alegre de lourdes,124.89
campo alegre de minas,137.93
campo alegre do fidalgo,263.94
campo azul,96.22
campo belo,2218.31
campo bom,5137.09
campo do brito,114.89
campo do meio,309.08000000000004
campo do tenente,71.04
campo ere,706.07
campo florido,92.02
campo formoso,4054.34
campo grande,64793.66
campo grande do piaui,190.88
campo largo,4665.79
campo limpo paulista,5581.77
campo magro,64.76
campo maior,1329.7
campo mourao,8579.69
campo novo,593.01
campo novo do parecis,5838.68
campo verde,1029.69
campos altos,498.61
campos belos,927.53
campos borges,877.04
campos de julio,1110.35
campos do jordao,3913.12
campos dos goytacazes,37761.24
campos gerais,571.17
campos novos,2438.37
campos sales,1853.78
campos verdes,413.04
camutanga,385.34000000000003
canaa,69.54
canaa dos carajas,1991.36
cananeia,838.89
canapi,377.32
canapolis,635.12
canarana,1486.9
canavieiras,1017.29
candeal,176.65
candeias,2402.21
candeias do jamari,338.74
candelaria,673.1
candido de abreu,439.91999999999996
candido godoi,1005.84
candido mendes,316.58
candido mota,1824.1
candido rodrigues,134.3
candido sales,472.52000000000004
candiota,899.5999999999999
candoi,79.5
canela,2798.2599999999998
canelinha,1012.72
cangucu,1545.69
canhotinho,430.49
caninde,707.39
caninde de sao francisco,359.83
canitar,317.91999999999996
canoas,31602.36
canoinhas,5291.02
cansancao,998.37
cantagalo,2758.09
cantanhede,735.85
canto do buriti,674.83
canudos,232.89
capanema,1504.71
capao bonito,3622.16
capao da canoa,5634.34
capao da porteira,215.13
capao do cipo,400.98
capao do leao,1254.66
caparao,64.42
capela,889.17
capela de santana,417.53000000000003
capela do alto,1004.25
capela do alto alegre,56.78
capela nova,121.27
capelinha,2968.12
capetinga,239.37
capim branco,187.17000000000002
capim grosso,660.78
capinopolis,1277.95
capinzal,1469.23
capinzal do norte,460.6
capistrano,72.16
capitao,146.5
capitao andrade,199.0
capitao eneas,98.84
