customer_state,payment_value
AC,19586.25
AL,94195.79
AM,27596.18
AP,16141.81
BA,591270.6
CE,266357.16
DF,346146.17
ES,317682.65
GO,334294.22
MA,147700.48
MG,1819029.99
MS,134421.54
MT,181441.72
PA,212027.55
PB,137834.65
PE,309074.59
PI,105272.17
PR,781919.55
RJ,2055878.41
RN,100728.3
RO,56975.7
RR,9039.52
RS,861054.35
SC,595361.91
SE,70289.13
SP,5768355.09
TO,60007.37
